system:index,dry_days,max_temp,mean_temp,min_temp,month,total_precip,year,.geo
163,4,298.4588228861491,296.5650347432782,294.9422467549642,8.0,0.23962382152680917,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,5,298.1511484781901,296.682456949022,295.35327911376953,9.0,0.231901049720193,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,15,296.97452608744305,295.1306901131907,292.30381838480633,10.0,0.14311799100279998,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,29,295.7767225901286,293.0528601964315,289.7908198038737,11.0,0.0066172412143146175,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,27,295.9599889119466,293.53389684615587,290.89612261454266,12.0,0.009541953499383027,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,31,296.55906359354657,293.20572619284343,288.4480743408203,1.0,0.0011864742266780581,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,27,298.80038770039874,296.6024563668787,293.13889567057294,2.0,0.005697938650786938,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,22,300.29174677530926,297.52268598412957,294.0207576751709,3.0,0.041809180399567936,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,9,300.1674741109212,297.8243365605673,294.69721031188965,4.0,0.1271206244281835,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,17,302.26891199747723,299.65060798070766,295.6917673746745,5.0,0.15017567987957037,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,3,299.2157465616862,297.8890902201335,295.527042388916,6.0,0.35547915756088244,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,8,299.051809946696,297.6181201524631,295.2882792154948,7.0,0.271581755947782,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,3,298.37390581766766,296.885692514399,295.0412794748942,8.0,0.24695072045395605,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,4,298.86801783243817,296.72243150075275,294.3491744995117,9.0,0.4590880137782065,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,3,297.49309094746906,296.2841361876457,294.2309036254883,10.0,0.19913872212354633,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,10,296.47739283243817,295.318837123447,293.84554290771484,11.0,0.1343874673577652,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,27,295.5730336507161,293.9648227486559,291.67177327473956,12.0,0.023662769396551653,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,31,295.8498903910319,294.0163753468502,292.5591532389323,1.0,3.876513831251316E-4,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,28,300.6494954427083,297.77828357333226,294.4208227793376,2.0,8.345038632633361E-4,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,21,302.0825780232747,298.8510230279738,294.2738800048828,3.0,0.07033220061595458,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,25,303.1789182027181,301.17775692409936,298.9744364420573,4.0,0.024130958422304616,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2,300.43127314249676,298.04899886346624,296.93655522664386,5.0,0.2379511158415646,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,1,299.06513086954754,297.94184502495665,295.94935035705566,6.0,0.304529599389042,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,6,298.74095408121747,297.6310160852247,296.06021308898926,7.0,0.19018817374632135,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2,298.24138895670575,297.1436411949896,295.36565017700195,8.0,0.24384837199709608,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,1,298.33739535013837,296.61068905724426,295.3491859436035,9.0,0.2555465514304487,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
